place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,family,romantic,cheap,kids,expensive,friends
ChIJZ_CaFLRSWUERvKjD55I5Y3o,ТРК Тандем,55.8213251,49.093523100000006,"shopping_mall,point_of_interest,establishment",4.6,11681,"пр. Ибрагимова, 56, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJtUDYZwitXkERQzz8spxXe4k,Алан Аш,55.7800998,49.13527999999999,"restaurant,point_of_interest,food,establishment",4.6,8,"Туфана Миннуллина, 14/56, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ChIJw77_AIo3WkERjgk2WSHb604,VIP entrance,56.13476729999999,47.2409068,"bowling_alley,point_of_interest,establishment",5.0,2,"бул. Президентский, 20, Чебоксары, Чувашская Респ., Россия, 428006",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJt5udShGtXkERLJwGRR_DmgQ,Национальная библиотека Республики Татарстан,55.79173539999999,49.120934000000005,"library,point_of_interest,establishment",4.7,26,"ул. Кремлевская, 33, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ChIJydmCRKmyXkERkz_V6TyE90E,"ГБУК РТ ""Республиканская детская библиотека""",55.826372,49.1415089,"library,point_of_interest,establishment",5.0,8,"пр. Хусаина Ямашева, 81, Казань, Респ. Татарстан, Россия, 420126",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ChIJ-TIpqwmyXkERmur5jR8goHs,Библиотека-филиал № 15,55.7769735,49.2267016,"library,point_of_interest,establishment",5.0,3,"ул. Закиева, 31, Казань, Респ. Татарстан, Россия, 420100",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJi5Z2q7RSWUERDRT1or60cFQ,Библиотека № 46,55.818197,49.1020656,"library,point_of_interest,establishment",5.0,3,"Чистопольская ул., 4, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJW8y0X9-tXkERQKPnXWVBcAM,Центральная Детская Библиотека,55.751285200000005,49.20290429999999,"library,point_of_interest,establishment",4.8,10,"ул. Гарифьянова, 42, Казань, Респ. Татарстан, Россия, 420138",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ChIJ66c56TutXkERm6i7TLsC1RI,"Централизованная библиотечная система города Казани, филиал № 20",55.80866629999999,49.186862,"library,point_of_interest,establishment",4.7,6,"ул. Академика Кирпичникова, 14, Казань, Респ. Татарстан, Россия, 420029",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJz7N299pSWUERVToHZ29UoIg,Библиотека № 24,55.81677500000001,49.05819469999999,"library,point_of_interest,establishment",0.0,0,"ул. Степана Халтурина, 11, Казань, Респ. Татарстан, Россия, 420032",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
