,place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,is_cheap,is_expensive,family,friends,kids,romantic
60,ChIJ57LpVBGtXkERP-vHt2FY4p4,Научная библиотека КФУ им. Н. И. Лобачевского,55.79233829999999,49.1225415,"library,point_of_interest,establishment",4.0,9,"ул. Кремлевская, 35, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
61,ChIJs1M9_K9SWUERJFm3uHVDAaA,"ГБУК РТ ""Республиканская юношеская библиотека""",55.82893470000001,49.09713319999999,"library,point_of_interest,establishment",5.0,4,"пр. Ибрагимова, 53Б, Казань, Респ. Татарстан, Россия, 420044",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
62,ChIJ4ZmR_VFNWUERbzqPZpHdf4k,Детская библиотека Филиал № 45,55.8384723,49.134524600000006,"library,point_of_interest,establishment",5.0,3,"пр. Фатыха Амирхана, 24, Казань, Респ. Татарстан, Россия, 420132",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
63,ChIJTVIHydmtXkERWafmtAbzvro,Библиотека № 13 МУК ЦБС,55.74999620000001,49.19109570000001,"library,point_of_interest,establishment",3.8,4,"ул. Хусаина Мавлютова, 17Б, Казань, Респ. Татарстан, Россия, 420055",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
64,ChIJOVGLI36tXkERjJxwHBxNo38,"Централизованная библиотечная система г. Казани, филиал № 47",55.7994345,49.1784888,"library,point_of_interest,establishment",5.0,1,"ул. Николая Ершова, 57, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
65,ChIJUbs5LsFSWUERLJR9Ai-ti9E,Библиотека-филиал № 27,55.824861,49.067659,"library,point_of_interest,establishment",4.5,2,"ул. Галимджана Баруди, 25А, Казань, Респ. Татарстан, Россия, 420102",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
66,ChIJJTIkizqsXkER0beI01xprxE,Библиотека № 4,55.7431576,49.14219110000001,"library,point_of_interest,establishment",5.0,2,"ул. Кулагина, 4, Казань, Респ. Татарстан, Россия, 420054",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1
67,ChIJT3B4gMRSWUERRlRE6MJf7so,"Централизованная библиотечная система г. Казани, филиал № 32",55.8216644,49.0616323,"library,point_of_interest,establishment",4.0,1,"ул. Чкалова, 15, Казань, Респ. Татарстан, Россия, 420102",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
68,ChIJEYw9SQatXkERKTcgikxIeAg,Алмаз Синема Гранд,55.77922299999999,49.129642,"movie_theater,point_of_interest,establishment",4.4,883,"Спартаковская ул., 6, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
69,ChIJc-zgDPutXkERGQ8yd5lvbQI,Киномакс-Club,55.7695123,49.2166836,"movie_theater,point_of_interest,establishment",4.6,2456,"просп. Победы, 91, Казань, Респ. Татарстан, Россия, 420140",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
70,ChIJk1JLRXiuXkERxjW-wtlfQZ4,Алмаз Синема Сувар,55.7441993,49.1926286,"movie_theater,point_of_interest,establishment",4.2,734,"ТК ""Сити-Центр, ул. Хусаина Мавлютова, 45, Казань, Респ. Татарстан, Россия, 420101",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
71,ChIJ4dFEFqpSWUER2LuwAkr7CO8,Кинотеатр Синема 5 Казань,55.829952,49.11816899999999,"movie_theater,point_of_interest,establishment",4.7,2981,"пр. Хусаина Ямашева, 46/33, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
72,ChIJZ-psnbpSWUERqZ5epvLqN9k,Киномакс,55.82141619999999,49.0934001,"movie_theater,point_of_interest,establishment",4.6,3019,"Тандем, пр. Ибрагимова, 56, Казань, Респ. Татарстан, Россия, 420044",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
73,ChIJPWtk3w-tXkERgYMdzGuABHA,Каро,55.78643229999999,49.1242692,"movie_theater,point_of_interest,establishment",4.4,1715,"ул. Петербургская, 1, 3 этаж, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,ChIJeWjKga-yXkERSQ25YnkaPZI,Магия Кино,55.8252865,49.1536688,"movie_theater,point_of_interest,establishment",4.0,338,"пр. Хусаина Ямашева, 97, Казань, Респ. Татарстан, Россия, 420133",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
75,ChIJl44vWFNNWUERtqBvxQE2N0o,Кинотеатр Алмаз Синема Порт в Казани РК Ривьера,55.8159296,49.12745560000001,"movie_theater,point_of_interest,establishment",4.4,899,"пр. Фатыха Амирхана, 1Б, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
76,ChIJBXz6hHGtXkERFKUmKVV1FUU,Кинотеатр Korston,55.7936515,49.1509829,"movie_theater,point_of_interest,establishment",4.5,694,"ул. Николая Ершова, 1А, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
77,ChIJOfLqv3StXkERxla5g-0Ja5s,Мир,55.7881689,49.1474354,"movie_theater,point_of_interest,establishment",4.4,302,"Казань, Респ. Татарстан, Россия, 420043",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
78,ChIJhUaKYVCtXkERYLyHqaA2PMc,5D-кинотеатр Ривьера,55.8160152,49.1273979,"movie_theater,point_of_interest,establishment",3.8,55,"РК ""Ривьера, пр. Фатыха Амирхана, 1Б, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
79,ChIJp8TyKrNSWUERqoT6beKGoXU,Lounge 3D Cinema,55.8202855,49.1065549,"movie_theater,cafe,night_club,bar,point_of_interest,food,establishment",3.9,93,"Чистопольская ул., 9Б, Казань, Респ. Татарстан, Россия, 420066",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1
80,ChIJFS_BbxCtXkER_CVc_bHeyiI,Смотри и Пой,55.7873528,49.12032670000001,"movie_theater,night_club,bar,point_of_interest,establishment",4.2,24,"ТЦ Свита холл, ул. Баумана, 82, 5 этаж, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1
81,ChIJi5r5bU2tXkERy3mOUqIzkKk,25 кадр,55.81775260000001,49.1117378,"movie_theater,night_club,bar,point_of_interest,establishment",4.4,76,"Чистопольская ул., 20а, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1
